日期,通報內容
114/11/08,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月7日（星期五）0600時至11月8日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次（逾越中線進入北部、西南及東部空域10架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/07,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月6日（星期四）0600時至11月7日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機38架次（逾越中線進入北部、中部及西南空域31架次）及共艦9艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/06,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月5日（星期三）0600時至11月6日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次（逾越中線進入北部及西南空域12架次）及共艦10艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/05,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月4日（星期二）0600時至11月5日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/04,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月3日（星期一）0600時至11月4日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次（逾越中線進入西南空域2架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/03,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月2日（星期日）0600時至11月3日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（逾越中線進入北部空域1架）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/02,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月1日（星期六）0600時至11月2日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（逾越中線進入北部及西南空域3架）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/01,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月31日（星期五）0600時至11月01日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（逾越中線進入東部及西南空域3架）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/31,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年10月30日（星期四）0600時至10月31日（星期五）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機5架次（逾越中線進入西南空域3架）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月29日（星期三）0600時至10月30日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（逾越中線進入西南空域1架）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月28日（星期二）0600時至10月29日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機25架次（逾越中線進入北部及西南空域23架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月27日（星期一）0600時至10月28日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次（逾越中線進入北部及西南空域8架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/27,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月26日（星期日）0600時至10月27日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次（逾越中線進入北部及西南空域2架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月25日（星期六）0600時至10月26日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（逾越中線進入北部、中部及西南空域5架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/25,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月24日（星期五）0600時至10月25日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（逾越中線進入北部及西南空域9架次）及共艦4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/24,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月23日（星期四）0600時至10月24日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（逾越中線進入北部及西南空域9架次）及共艦4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/23,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月22日（星期三）0600時至10月23日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（逾越中線進入北部空域計1架）及共艦4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/22,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月21日（星期二）0600時至10月22日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次（逾越中線進入北部空域計2架次）及共艦4艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/21,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月20日（星期一）0600時至10月21日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/20,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年10月19日（星期日）0600時至10月20日（星期一）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機3架次（其中逾越海峽中線進入北部空域1架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/19,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月18日（星期六）0600時至10月19日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/18,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月17日（星期五）0600時至10月18日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（逾越中線進入北部、中部及西南空域計19架次）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/17,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月16日（星期四）0600時至10月17日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次（逾越中線進入北部、西南及東部空域計18架次）及共艦9艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/16,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月15日（星期三）0600時至10月16日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機23架次（其中逾越中線進入北部、西南及東部空域計21架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/15,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月14日（星期二）0600時至10月15日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次（其中逾越中線進入北部、西南及東南空域計14架次）及共艦13艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/14,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月13日（星期一）0600時至10月14日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次（其中逾越中線進入北部、西南及東南空域計8架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/13,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月12日（星期日）0600時至10月13日（星期一）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機13架次（其中逾越中線進入北部、西南及東南空域計8架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/12,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年10月11日（星期六）0600時至10月12日（星期日）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機16架次（其中逾越中線進入北部、西南及東部空域計13架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/11,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月10日（星期五）0600時至10月11日（星期六）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機7架次（其中逾越中線進入北部及西南空域計3架次）及共艦8艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/10,中共解放軍臺海周邊海、空域動態 一、日期 Date： 中華民國114年10月9日（星期四）0600時至10月10日（星期五）0600時止。 6 a.m. Oct. 9 (Thu.) to 6 a.m. Oct. 10 (Fri.) (UTC+8) 二、活動動態 PLA activities： 迄0600時止，偵獲共機8架次（其中逾越中線進入北部、西南及東南空域計4架次）及共艦9艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/09,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月8日（星期三）0600時至10月9日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（其中逾越中線進入北部及西南空域6架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/08,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月7日（星期二）0600時至10月8日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機26架次（其中逾越海峽中線進入北部、中部及西南空域18架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/07,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月6日（星期一）0600時至10月7日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/06,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月5日（星期日）0600時至10月6日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次（其中逾越中線進入北部空域7架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/05,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月4日（星期六）0600時至10月5日（星期日）0600時止。 二、活動動態； 迄0600時止，偵獲共機9架次（其中逾越中線進入北部空域2架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/04,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月3日（星期五）0600時至10月4日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次（其中逾越海峽中線進入北部空域5架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/03,中共解放軍臺海周邊海、空域動態 PLA activities in the waters and airspace around Taiwan 一、日期 Date： 中華民國114年10月2日（星期四）0600時至10月3日（星期五）0600時止。 二、活動動態 PLA activities： 迄0600時止，偵獲共機6架次（其中逾越海峽中線進入西南空域1架）及共艦7艘，持續在臺海周邊活動，國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/02,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月1日（星期三）0600時至10月2日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線進入北部及西南空域8架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/10/01,
114/09/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月29日（星期一）0600時至9月30日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機33架次（其中逾越海峽中線進入北部、中部及西南空域23架次）及共艦8艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月28日（星期日）0600時至9月29日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（其中逾越海峽中線進入北部、中部、西南及東部空域6架次）、共艦8艘及公務船4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月27日（星期六）0600時至9月28日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（進入北部、西南及東部空域5架次）、共艦7艘及公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/27,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月26日（星期五）0600時至9月27日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機19架次（其中逾越海峽中線進入北部、中部及西南部空域15架次）及共艦7艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/26,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月25日（星期四）0600時至9月26日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線進入北部空域9架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/25,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月24日（星期三）0600時至9月25日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架（進入北部空域1架）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/24,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月23日（星期二）0600時至9月24日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共艦1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/23,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月22日（星期一）0600時至9月23日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次（其中逾越海峽中線進入北部及西南部空域11架次）及共艦1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/22,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年9月21日（星期日）0600時至9月22日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次及共艦4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/21,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月20日（星期六）0600時至9月21日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/20,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月19日（星期五）0600時至9月20日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（其中逾越海峽中線進入北部空域3架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/19,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月18日（星期四）0600時至9月19日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（其中逾越海峽中線進入北部、西南及東部空域8架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/18,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月17日（星期三）0600時至9月18日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次（其中逾越海峽中線進入北部及西南部空域3架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/17,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月16日（星期二）0600時至9月17日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機31架次（其中逾越海峽中線進入北部、西南及東部空域26架次）及共艦14艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/16,中共解放軍臺海周邊海、空域動態 一、日期 Date： 中華民國114年9月15日（星期一）0600時至9月16日（星期二）0600時止。 二、活動動態 PLA activities： 迄0600時止，偵獲共機24架次（其中逾越海峽中線進入北部、西南及東部空域15架次）及共艦11艘、公務船6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/15,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月14日（星期日）0600時至9月15日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機26架次（其中逾越海峽中線進入北部、西南及東部空域23架次）及共艦9艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/14,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月13日（星期六）0600時至9月14日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（其中逾越海峽中線進入北部、中部、西南及東部空域26架次）及共艦14艘、公務船6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/13,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月12日（星期五）0600時至9月13日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機31架次（其中逾越海峽中線進入北部、中部及西南空域25架次）及共艦13艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/12,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月11日（星期四）0600時至9月12日（星期五）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機22架次（其中逾越海峽中線進入北部及西南空域15架次）及共艦10艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/11,中共解放軍臺海周邊海、空域動態 一、日期 Date： 中華民國114年9月10日（星期三）0600時至9月11日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次（其中逾越海峽中線進入北部、西南及東部空域14架次）及共艦5艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/10,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月9日（星期二）0600時至9月10日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（其中逾越海峽中線進入北部及東部空域13架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/09,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月8日（星期一）0600時至9月9日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（其中逾越海峽中線進入北部空域2架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/08,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月7日（星期日）0600時至9月8日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（其中逾越海峽中線進入北部、中部及西南空域14架次）及共艦7艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/07,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月6日（星期六）0600時至9月7日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機21架次（其中逾越海峽中線12架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/06,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月5日（星期五）0600時至9月6日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機28架次（其中逾越海峽中線進入北部、西南及東部空域24架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/05,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月4日（星期四）0600時至9月5日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機17架次（其中逾越海峽中線進入北部及西南空域9架次）、共艦9艘及公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/04,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月3日（星期三）0600時至9月4日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（其中逾越海峽中線進入北部空域2架次）、共艦5艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/03,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月2日（星期二）0600時至9月3日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（其中逾越海峽中線進入北部空域1架次）、共艦5艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/02,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年9月1日（星期一）0600時至9月2日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次（其中逾越海峽中線進入北部空域1架次）及共艦5艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/09/01,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年8月31日（星期日）0600時至9月1日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（其中逾越海峽中線進入北部及西南空域2架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/08/31,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年8月30日（星期六）0600時至8月31日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（其中逾越海峽中線進入北部及東部空域2架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/08/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年8月29日（星期五）0600時至8月30日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次（其中逾越海峽中線進入西南及東部空域11架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/08/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年8月28日（星期四）0600時至8月29日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機19架次（其中逾越海峽中線進入北部及東部空域16架次）、共艦7艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/08/28,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年8月27日（星期三）0600時至8月28日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機41架次（其中逾越海峽中線進入北部、中部及西南空域24架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/08/27,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年8月26日（星期二）0600時至8月27日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機23架次（其中逾越海峽中線進入北部及西南空域16架）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/08/26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年8月25日（星期一）0600時至8月26日（星期二）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機6架次（其中逾越海峽中線進入西南空域1架）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
